Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1000,Male,No,0,Graduate,No,9869,1799,332.0,,1.0,Urban,Y
LP1001,Female,,0,Graduate,No,5366,3385,202.0,360.0,1.0,Rural,Y
LP1002,Male,Yes,0,Graduate,No,3090,1555,156.0,360.0,1.0,Urban,Y
LP1003,Male,Yes,0,Graduate,No,5846,0,98.0,360.0,1.0,Semiurban,Y
LP1004,Male,Yes,0,Graduate,No,3376,4093,188.0,360.0,1.0,Rural,Y
LP1005,Male,No,0,Graduate,No,2931,3771,223.0,480.0,0.0,Urban,N
LP1006,Male,No,0,Graduate,No,2224,1251,114.0,360.0,0.0,Rural,N
LP1007,Female,,2,Graduate,No,1554,762,41.0,180.0,1.0,Semiurban,Y
LP1008,Male,Yes,0,Not Graduate,No,3519,0,78.0,360.0,1.0,Semiurban,Y
LP1009,Male,Yes,0,Graduate,No,4889,0,133.0,360.0,1.0,Semiurban,Y
LP1010,Male,No,2,Graduate,No,4196,2797,127.0,180.0,1.0,Urban,Y
LP1011,Female,No,1,Graduate,No,3464,0,119.0,180.0,1.0,Urban,Y
LP1012,Female,Yes,0,Graduate,No,2521,0,83.0,360.0,1.0,Semiurban,Y
LP1013,Male,No,0,Graduate,No,6405,2051,155.0,360.0,1.0,Urban,Y
LP1014,Male,No,0,Graduate,No,2017,1448,60.0,360.0,1.0,Urban,Y
LP1015,Male,Yes,1,Not Graduate,No,7084,5079,203.0,360.0,1.0,Urban,Y
LP1016,Male,Yes,3+,Graduate,No,2437,0,80.0,360.0,1.0,Urban,Y
LP1017,Male,Yes,1,Graduate,No,2831,0,53.0,360.0,,Rural,Y
LP1018,Male,Yes,0,Graduate,No,1844,1521,78.0,360.0,1.0,Urban,Y
LP1019,Male,Yes,1,Graduate,No,3291,3827,170.0,360.0,0.0,Urban,N
LP1020,Male,No,0,Graduate,No,7983,6687,395.0,360.0,1.0,Semiurban,Y
LP1021,Male,Yes,0,Graduate,,6059,5163,184.0,360.0,1.0,Semiurban,Y
LP1022,Male,Yes,0,Graduate,No,7998,754,170.0,180.0,1.0,Semiurban,Y
LP1023,Male,,3+,Graduate,No,6083,1475,254.0,360.0,1.0,Urban,Y
LP1024,Male,Yes,0,Graduate,No,2293,0,76.0,180.0,1.0,Semiurban,Y
LP1025,Male,No,1,Not Graduate,Yes,3646,2674,193.0,360.0,1.0,Semiurban,Y
LP1026,Male,Yes,0,Graduate,No,2784,3130,91.0,360.0,0.0,Rural,N
LP1027,Male,Yes,0,Not Graduate,No,9880,924,232.0,360.0,1.0,Semiurban,Y
LP1028,Male,No,0,Graduate,No,2168,1908,112.0,360.0,1.0,Semiurban,Y
LP1029,Male,Yes,0,Not Graduate,No,7602,359,163.0,360.0,1.0,Semiurban,Y
LP1030,Male,Yes,2,Graduate,No,7599,0,252.0,360.0,0.0,Rural,N
LP1031,Male,Yes,0,Not Graduate,No,13329,1200,,360.0,1.0,Semiurban,Y
LP1032,Male,Yes,1,Not Graduate,No,3477,0,57.0,180.0,0.0,Urban,N
LP1033,Female,Yes,2,Graduate,No,6818,1411,273.0,360.0,0.0,Urban,N
LP1034,Female,Yes,3+,Not Graduate,No,17483,0,597.0,360.0,1.0,Urban,Y
LP1035,Female,Yes,0,Graduate,No,3069,0,50.0,360.0,1.0,Urban,Y
LP1036,Male,No,0,Graduate,No,1770,0,45.0,360.0,0.0,Rural,N
LP1037,Male,Yes,0,Graduate,Yes,1439,1661,,360.0,1.0,Semiurban,Y
LP1038,Male,Yes,3+,Graduate,No,6820,0,155.0,360.0,1.0,Semiurban,Y
LP1039,Male,Yes,3+,Graduate,No,1436,0,35.0,360.0,1.0,Semiurban,Y
LP1040,Male,Yes,0,Graduate,No,3556,889,118.0,360.0,1.0,Semiurban,Y
LP1041,Male,No,2,Graduate,No,5781,0,197.0,360.0,1.0,Semiurban,Y
LP1042,Male,Yes,0,Graduate,No,4969,2404,184.0,360.0,1.0,Semiurban,Y
LP1043,Female,No,1,Not Graduate,No,5740,4960,178.0,360.0,1.0,Urban,Y
LP1044,Male,Yes,0,Graduate,No,5081,1060,168.0,360.0,1.0,Urban,Y
LP1045,Male,Yes,2,Graduate,No,9578,0,208.0,360.0,1.0,Urban,Y
LP1046,Male,Yes,0,Graduate,No,2511,4345,220.0,360.0,0.0,Rural,N
LP1047,Male,No,2,Graduate,No,2962,0,70.0,360.0,1.0,Semiurban,Y
LP1048,Male,Yes,2,Graduate,Yes,2797,525,62.0,360.0,1.0,Semiurban,Y
LP1049,Male,,1,Graduate,No,7318,0,137.0,360.0,1.0,Urban,Y
LP1050,Female,Yes,0,Graduate,No,7633,2462,306.0,180.0,1.0,Semiurban,Y
LP1051,Male,No,0,Not Graduate,No,5829,0,118.0,180.0,0.0,Semiurban,N
LP1052,Female,Yes,0,Graduate,No,9046,1050,306.0,360.0,1.0,Urban,Y
LP1053,Female,No,0,Graduate,No,2193,175,45.0,,1.0,Rural,Y
LP1054,Male,Yes,0,Graduate,No,12092,2747,318.0,360.0,0.0,Rural,N
LP1055,Female,Yes,3+,Graduate,No,11091,0,269.0,360.0,0.0,Semiurban,N
LP1056,Male,Yes,0,Graduate,No,6914,360,246.0,240.0,1.0,Rural,Y
LP1057,Male,Yes,0,Graduate,No,12952,187,441.0,360.0,1.0,Rural,Y
LP1058,Male,Yes,0,Graduate,No,1645,3467,97.0,360.0,1.0,Urban,Y
LP1059,Male,Yes,0,Graduate,Yes,3246,0,71.0,360.0,1.0,Rural,Y
LP1060,Male,No,1,Not Graduate,No,2860,1509,78.0,360.0,1.0,Urban,Y
LP1061,Male,Yes,0,Not Graduate,No,6856,0,,360.0,1.0,Semiurban,Y
LP1062,Female,Yes,3+,Graduate,No,2368,0,57.0,180.0,1.0,Urban,Y
LP1063,Male,Yes,0,Graduate,No,7005,0,231.0,360.0,1.0,Urban,Y
LP1064,,Yes,3+,Graduate,No,10120,593,359.0,360.0,,Urban,Y
LP1065,Male,Yes,2,Graduate,No,6748,0,152.0,360.0,0.0,Urban,N
LP1066,Male,,0,Graduate,No,5272,0,130.0,360.0,1.0,Rural,Y
LP1067,Female,,3+,Graduate,No,2458,1504,130.0,360.0,0.0,Rural,N
LP1068,Male,No,0,Graduate,No,2675,1481,129.0,360.0,0.0,Rural,N
LP1069,Female,No,2,Graduate,No,9412,0,141.0,360.0,1.0,Rural,Y
LP1070,Male,Yes,0,Graduate,No,7098,1875,192.0,360.0,1.0,Rural,Y
LP1071,Male,Yes,2,Not Graduate,No,4344,0,101.0,360.0,1.0,Semiurban,Y
LP1072,Male,Yes,2,Not Graduate,No,3460,0,67.0,480.0,1.0,Semiurban,Y
LP1073,Female,Yes,2,Graduate,No,1318,0,35.0,360.0,1.0,Urban,Y
LP1074,Male,Yes,2,Graduate,No,2339,1404,58.0,360.0,1.0,Rural,Y
LP1075,Male,Yes,0,Not Graduate,No,14000,0,390.0,360.0,0.0,Urban,N
LP1076,Male,No,0,Graduate,No,2062,0,41.0,180.0,1.0,Rural,Y
LP1077,Male,No,0,Not Graduate,No,4982,0,79.0,180.0,1.0,Semiurban,Y
LP1078,Male,Yes,0,Graduate,No,8139,5916,275.0,360.0,1.0,Semiurban,Y
